,playerName,School,Conf,position,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,yearsInCollege,heightInCm,weightInKg,transferredSchools
19,Darrell Arthur\arthuda01,Kansas,Big 12,Forward,40.0,39.0,24.7,5.4,9.9,0.5429999999999999,5.3,9.6,0.555,0.1,0.3,0.16699999999999998,2.0,2.9,0.7020000000000001,2.3,4.0,6.3,0.8,0.5,1.3,1.9,3.0,12.8,8.2,2.0,206.0,102.0,0.0
20,Theo Ratliff\ratlith01,Wyoming,WAC,Forward,28.0,30.191721132897605,32.6,5.3,9.7,0.544,5.3,9.5,0.551,0.0,0.2,0.2,3.8,6.0,0.633,1.7029752066115702,4.258016528925619,7.5,1.1,0.6,5.1,2.5,3.4,14.4,6.89,4.0,208.0,102.0,0.0
21,Rodney Rogers\rogerro01,Wake Forest,ACC,Forward,30.0,29.0,32.7,8.0,14.4,0.555,7.2,12.1,0.591,0.8,2.2,0.358,4.5,6.2,0.7170000000000001,1.7029752066115702,4.258016528925619,7.4,2.3,1.8,0.9,3.2,2.7,21.2,9.32,3.0,201.0,106.0,0.0
22,Norm Richardson\richano01,Hofstra,AEC,Forward,31.0,30.0,34.5,5.2,12.7,0.41,3.8,8.5,0.451,1.4,4.2,0.326,4.9,6.7,0.736,1.5,4.4,6.0,2.8,1.5,0.3,3.3,2.3,16.7,-5.47,4.0,196.0,86.0,0.0
23,J.J. Redick\redicjj01,Duke,ACC,Guard,36.0,36.0,37.1,8.4,17.9,0.47,4.5,8.7,0.521,3.9,9.2,0.42100000000000004,6.1,7.1,0.863,0.2,1.8,2.0,2.6,1.4,0.1,2.5,1.5,26.8,8.77,4.0,193.0,86.0,0.0
24,Jonathan Isaac\isaacjo01,Florida State,ACC,Forward,32.0,32.0,26.2,4.1,8.0,0.508,3.1,5.2,0.593,1.0,2.8,0.348,2.9,3.7,0.78,1.8,6.1,7.8,1.2,1.2,1.5,1.5,2.2,12.0,8.87,1.0,208.0,95.0,0.0
25,Todd Day\dayto01,Arkansas,SEC,Guard,22.0,22.0,32.3,7.9,15.8,0.499,5.3,9.7,0.542,2.6,6.0,0.429,4.4,5.8,0.764,1.7029752066115702,4.258016528925619,7.0,3.2,2.5,0.8,2.8,2.5,22.7,8.2,4.0,198.0,85.0,0.0
26,Darren Collison\collida01,UCLA,Pac-10,Guard,35.0,35.0,31.5,5.0,9.8,0.509,3.8,6.9,0.5579999999999999,1.2,3.0,0.39399999999999996,3.2,3.6,0.897,0.5,1.9,2.4,4.7,1.6,0.1,2.5,1.5,14.4,7.18,4.0,185.0,72.0,0.0
27,Maurice Ager\agerma01,Michigan State,Big Ten,Guard,34.0,34.0,34.4,6.6,14.6,0.457,4.2,8.1,0.522,2.4,6.5,0.376,3.6,4.7,0.7609999999999999,0.7,3.4,4.1,2.5,0.7,0.3,2.6,2.4,19.3,7.27,4.0,196.0,91.0,0.0
28,Darius Morris\morrida01,Michigan,Big Ten,Guard,35.0,34.0,34.8,5.7,11.7,0.489,5.3,9.9,0.5329999999999999,0.5,1.8,0.25,3.1,4.3,0.715,0.9,3.1,4.0,6.7,1.0,0.0,2.9,2.1,15.0,10.68,2.0,193.0,86.0,0.0
29,Mateen Cleaves\cleavma01,Michigan State,Big Ten,Guard,26.0,30.191721132897605,31.5,4.2,10.0,0.42100000000000004,3.0,6.7,0.44299999999999995,1.2,3.3,0.376,2.5,3.3,0.7559999999999999,1.7029752066115702,4.258016528925619,1.8,6.9,1.4,0.2,3.7,2.2,12.1,9.91,4.0,188.0,92.0,0.0
30,Billy Garrett\garrebi01,DePaul,Big East,Guard,32.0,32.0,29.3,4.4,11.3,0.38799999999999996,3.1,7.8,0.39899999999999997,1.3,3.5,0.363,4.9,5.6,0.882,0.4,2.5,2.9,3.3,1.2,0.2,3.3,2.5,14.9,7.78,4.0,198.0,92.0,0.0
31,John Amaechi\amaecjo01,Vanderbilt,Big Ten,Center,24.0,30.191721132897605,13.0,1.1,2.4,0.456,1.1,2.4,0.456,0.0,0.0,0.34321338634857523,0.6,1.0,0.56,1.7029752066115702,4.258016528925619,2.7,0.3,0.4,0.5,1.1,1.5,2.8,6.308021390374332,6.0,208.0,122.0,0.0
32,Alan Williams\willial03,Wake Forest,ACC,Guard,8.0,0.0,1.8,0.1,0.5,0.25,0.0,0.0,0.5242610250297974,0.1,0.5,0.25,0.3,0.3,1.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.6,11.03,4.0,190.0,80.0,0.0
33,Ervin Johnson\johnser02,New Orleans,Sun Belt,Center,29.0,30.191721132897605,33.3,7.2,11.6,0.619,7.2,11.6,0.619,0.0,0.0,0.34321338634857523,4.1,6.0,0.674,1.7029752066115702,4.258016528925619,11.9,0.6,0.9,2.7,2.6,3.0,18.4,0.55,4.0,211.0,111.0,0.0
34,Isaac Humphries\humphis01,Kentucky,SEC,Forward,38.0,1.0,8.3,1.2,2.3,0.511,1.2,2.3,0.511,0.0,0.0,0.34321338634857523,0.4,0.7,0.6,1.3,1.4,2.8,0.2,0.2,0.5,0.4,1.5,2.8,10.49,2.0,213.0,117.0,0.0
35,Daequan Cook\cookda02,Ohio State,Big Ten,Guard,39.0,1.0,19.7,3.6,8.1,0.445,2.2,4.8,0.465,1.4,3.3,0.415,1.2,1.7,0.6970000000000001,0.7,3.6,4.3,1.0,0.7,0.3,1.4,1.7,9.8,9.03,1.0,196.0,92.0,0.0
36,Jay Williams\willija03,Duke,ACC,Guard,35.0,35.0,33.6,7.1,15.6,0.457,4.0,7.5,0.536,3.1,8.1,0.38299999999999995,4.0,5.9,0.6759999999999999,0.8,2.8,3.5,5.3,2.2,0.1,3.7,2.3,21.3,9.16,3.0,188.0,88.0,0.0
37,Rod Strickland\stricro02,DePaul,Ind,Guard,26.0,30.191721132897605,32.2,8.0,15.1,0.528,7.0,13.0,0.541,0.9,2.1,0.444,3.2,5.3,0.606,1.7029752066115702,4.258016528925619,3.8,7.8,2.9,0.2,3.1,2.0,20.0,3.23,3.0,190.0,79.0,0.0
38,Tierre Brown\brownti01,McNeese State,Southland,Guard,31.0,31.0,34.3,6.9,16.7,0.41100000000000003,5.2,11.8,0.44299999999999995,1.6,4.9,0.336,4.7,5.9,0.7929999999999999,2.1,3.6,5.7,3.6,1.8,0.2,3.2,2.0,20.1,-8.42,4.0,188.0,85.0,0.0
39,DeMar DeRozan\derozde01,USC,Pac-10,Forward,35.0,35.0,33.4,5.5,10.5,0.523,5.3,9.5,0.562,0.2,1.0,0.16699999999999998,2.7,4.2,0.6459999999999999,2.4,3.3,5.7,1.5,0.9,0.4,2.1,2.1,13.9,9.15,1.0,201.0,99.0,0.0
40,Brandon Davies\daviebr01,BYU,WCC,Forward,36.0,36.0,29.3,6.4,12.2,0.522,6.2,11.8,0.527,0.1,0.4,0.35700000000000004,4.8,7.1,0.682,2.1,5.9,8.0,2.4,1.3,1.0,2.6,3.1,17.7,3.75,4.0,206.0,106.0,0.0
41,Andrew DeClercq\declean01,Florida,SEC,Forward,30.0,30.191721132897605,32.2,4.6,9.0,0.511,4.4,8.5,0.522,0.2,0.5,0.33299999999999996,3.8,5.3,0.723,1.7029752066115702,4.258016528925619,8.8,1.4,1.2,1.1,2.8,3.4,13.2,11.31,4.0,208.0,104.0,0.0
42,Quincy Pondexter\pondequ01,Washington,Pac-10,Forward,36.0,36.0,32.3,6.8,12.9,0.528,6.3,11.5,0.55,0.5,1.4,0.353,5.2,6.3,0.8270000000000001,3.0,4.4,7.4,1.8,1.3,0.6,1.9,2.5,19.3,7.49,4.0,201.0,97.0,0.0
43,Marcus Smart\smartma01,Oklahoma State,Big 12,Guard,31.0,31.0,32.7,5.3,12.5,0.42200000000000004,3.7,7.2,0.514,1.6,5.3,0.299,5.9,8.1,0.728,1.4,4.5,5.9,4.8,2.9,0.6,2.6,2.9,18.0,8.34,2.0,193.0,99.0,0.0
44,Chris Quinn\quinnch01,Notre Dame,Big East,Guard,29.0,29.0,40.0,6.0,13.3,0.45,3.6,7.6,0.473,2.4,5.8,0.419,3.3,3.8,0.872,0.8,2.9,3.8,6.4,1.6,0.1,2.7,2.1,17.7,6.68,4.0,188.0,83.0,0.0
45,Nikola Vucevic\vucevni01,USC,Pac-10,Forward,34.0,34.0,34.9,6.3,12.5,0.505,5.5,10.1,0.542,0.9,2.4,0.349,3.6,4.8,0.755,2.9,7.4,10.3,1.6,0.5,1.4,1.7,2.8,17.1,7.96,3.0,208.0,99.0,0.0
46,Michael Curry\currymi01,Georgia Southern,TAAC,Guard,28.0,30.191721132897605,33.1,5.9,9.4,0.621,5.9,9.3,0.628,0.0,0.1,0.0,4.9,6.1,0.8059999999999999,1.7029752066115702,4.258016528925619,7.0,2.1,1.2,0.2,2.2771144278606963,2.327363184079602,16.6,-8.44,4.0,196.0,95.0,0.0
47,Brandon Knight\knighbr03,Kentucky,SEC,Guard,38.0,38.0,35.9,5.7,13.5,0.423,3.4,7.4,0.461,2.3,6.1,0.377,3.6,4.5,0.795,0.7,3.4,4.0,4.2,0.7,0.2,3.2,2.2,17.3,8.91,1.0,190.0,83.0,0.0
48,Kyrie Irving\irvinky01,Duke,ACC,Guard,11.0,8.0,27.5,5.0,9.5,0.529,3.4,5.9,0.569,1.6,3.5,0.462,5.8,6.5,0.9009999999999999,0.5,2.8,3.4,4.3,1.5,0.5,2.5,2.1,17.5,8.31,1.0,188.0,81.0,0.0
49,Andre Ingram\ingraan01,American,Patriot,Guard,30.0,30.0,34.5,5.0,11.9,0.42,2.4,5.8,0.41600000000000004,2.6,6.1,0.424,2.6,3.2,0.8320000000000001,0.7,4.0,4.8,1.8,1.2,0.1,1.3,1.7,15.2,-4.38,4.0,190.0,86.0,0.0
50,Caleb Swanigan\swanica01,Purdue,Big Ten,Forward,35.0,35.0,32.5,6.3,12.0,0.527,5.3,9.6,0.5479999999999999,1.1,2.4,0.447,4.7,6.0,0.7809999999999999,2.7,9.7,12.5,3.1,0.4,0.8,3.4,2.8,18.5,8.79,2.0,206.0,117.0,0.0
51,Chris McCullough\mcculch01,Syracuse,ACC,Forward,16.0,16.0,28.1,3.4,7.1,0.478,3.3,7.0,0.473,0.1,0.1,1.0,2.5,4.4,0.563,2.3,4.6,6.9,1.1,1.7,2.1,2.2,2.6,9.3,7.68,1.0,208.0,99.0,0.0
52,Jarron Collins\collija03,Stanford,Pac-10,Forward,34.0,34.0,28.3,4.5,8.1,0.5579999999999999,4.5,7.9,0.563,0.1,0.2,0.33299999999999996,3.7,5.4,0.687,2.0,4.7,6.7,1.4,0.6,0.6,1.5,2.5,12.8,9.86,4.0,211.0,115.0,0.0
53,Derrick Caracter\caracde01,UTEP,CUSA,Forward,27.0,22.0,26.7,5.5,9.7,0.5670000000000001,5.3,9.1,0.585,0.1,0.6,0.267,3.0,4.4,0.672,2.7,5.4,8.1,1.1,1.0,0.9,2.9,3.0,14.1,1.96,3.0,206.0,124.0,1.0
54,Renaldo Balkman\balkmre01,South Carolina,SEC,Forward,38.0,22.0,25.7,4.0,6.6,0.608,3.9,6.2,0.624,0.1,0.3,0.308,1.5,2.7,0.5379999999999999,2.1,4.2,6.3,1.9,1.7,1.3,1.7,2.2,9.6,8.14,3.0,203.0,94.0,0.0
55,Sean Kilpatrick\kilpase01,Cincinnati,AAC,Guard,34.0,33.0,33.8,6.3,14.9,0.423,3.6,7.0,0.506,2.7,7.9,0.348,5.3,6.3,0.845,1.1,3.2,4.3,2.5,1.4,0.0,2.1,1.4,20.6,5.28,4.0,193.0,95.0,0.0
56,Will Solomon\solomwi01,Clemson,ACC,Guard,30.0,28.0,33.3,6.1,15.4,0.397,2.9,7.0,0.42100000000000004,3.2,8.4,0.377,4.3,5.5,0.7879999999999999,0.6,2.3,2.9,3.4,1.4,0.3,4.1,2.4,19.7,8.31,3.0,185.0,83.0,0.0
57,Gabe Pruitt\pruitga01,USC,Pac-10,Guard,26.0,24.0,33.1,4.0,9.6,0.41600000000000004,2.2,4.3,0.496,1.8,5.3,0.35,2.6,3.3,0.8,0.6,2.2,2.8,4.3,1.8,0.3,1.8,2.2,12.5,7.87,3.0,193.0,77.0,0.0
58,Jonathon Simmons\simmojo02,Houston,CUSA,Guard,30.0,29.0,30.1,5.1,10.0,0.512,4.1,7.3,0.56,1.1,2.8,0.386,3.4,4.7,0.716,1.4,3.6,5.0,2.2,0.7,0.4,3.3,2.5,14.7,0.21,1.0,198.0,88.0,0.0
59,Chris Johnson\johnsch04,Dayton,A-10,Forward,32.0,32.0,29.7,4.1,8.8,0.465,1.9,3.4,0.574,2.2,5.4,0.397,2.1,2.5,0.848,2.5,3.9,6.4,1.3,0.7,0.6,1.6,2.3,12.4,4.3,4.0,198.0,97.0,0.0
60,Charles Jenkins\jenkich01,Hofstra,CAA,Guard,33.0,33.0,37.3,7.5,14.6,0.517,5.5,9.8,0.563,2.0,4.8,0.42,5.5,6.7,0.8240000000000001,0.5,2.8,3.4,4.8,1.7,0.7,2.2,2.0,22.6,0.13,4.0,190.0,99.0,0.0
61,Walter McCarty\mccarwa01,Kentucky,SEC,Forward,36.0,30.191721132897605,24.7,4.2,7.8,0.5429999999999999,3.4,6.1,0.564,0.8,1.7,0.467,2.1,2.9,0.721,1.7029752066115702,4.258016528925619,5.7,2.6,1.2,1.4,2.3,3.3,11.3,10.06,3.0,208.0,104.0,0.0
62,Demetrius Jackson\jacksde01,Pacific,Big West,Guard,27.0,23.0,29.4,4.6,11.7,0.39399999999999996,2.9,6.4,0.44299999999999995,1.7,5.2,0.33299999999999996,2.7,3.3,0.82,0.2,1.5,1.7,3.0,1.2,0.1,3.1,2.9,13.6,-0.95,2.0,178.0,77.0,0.0
63,Derrick Jones\jonesde02,Samford,TAAC,Guard,29.0,29.0,30.8976088289393,4.4,10.2,0.434,1.5,2.7,0.5710000000000001,2.9,7.6,0.386,2.0,3.2,0.62,0.8,3.8,4.6,2.7,0.7,0.4,2.8,3.2,13.8,-6.14,4.0,196.0,86.0,1.0
64,Nick Fazekas\fazekni01,Nevada,WAC,Forward,32.0,32.0,30.3,7.8,13.7,0.568,6.9,11.6,0.591,0.9,2.0,0.431,4.0,4.7,0.848,3.0,8.1,11.1,1.8,0.8,1.5,2.0,2.3,20.4,1.09,4.0,211.0,106.0,0.0
65,Matt Costello\costema01,Michigan State,Big Ten,Forward,35.0,35.0,22.9,4.2,7.5,0.561,4.2,7.3,0.57,0.1,0.2,0.25,2.2,2.9,0.752,2.9,5.3,8.2,1.3,0.7,1.2,1.1,2.1,10.7,6.94,4.0,206.0,111.0,0.0
66,Wesley Person\persowe01,Auburn,SEC,Guard,28.0,30.191721132897605,35.9,7.8,16.0,0.484,4.4,8.5,0.521,3.3,7.5,0.44299999999999995,3.4,4.6,0.7340000000000001,1.7029752066115702,4.258016528925619,6.4,2.8,1.0,0.4,3.0,1.6,22.2,7.17,4.0,198.0,88.0,0.0
67,Kendall Gill\gillke01,Illinois,Big Ten,Guard,29.0,29.0,34.5,7.3,14.6,0.5,6.5,12.3,0.528,0.8,2.3,0.348,4.7,6.0,0.777,1.7029752066115702,4.258016528925619,4.9,3.3,2.2,0.6,2.5,2.3,20.0,9.89,4.0,196.0,88.0,0.0
68,Chris Porter\portech01,Auburn,SEC,Forward,26.0,26.0,29.0,5.4,11.7,0.46399999999999997,5.3,11.0,0.47700000000000004,0.2,0.7,0.235,3.6,5.3,0.6759999999999999,1.7029752066115702,4.258016528925619,7.3,1.2,2.0,0.3,2.1,2.7,14.6,8.2,2.0,201.0,98.0,0.0
69,Loren Woods\woodslo01,Arizona,Pac-10,Center,29.0,28.0,30.3,4.6,9.1,0.504,4.6,9.0,0.506,0.0,0.1,0.33299999999999996,4.0,4.9,0.83,1.6,4.9,6.5,2.1,0.7,2.9,2.0,2.2,13.2,12.56,4.0,216.0,111.0,1.0
70,Josh Selby\selbyjo01,Kansas,Big 12,Guard,26.0,11.0,20.4,2.8,7.4,0.373,1.5,3.8,0.384,1.3,3.6,0.36200000000000004,1.1,1.4,0.757,0.4,1.8,2.2,2.2,0.8,0.0,2.0,1.7,7.9,7.62,1.0,188.0,83.0,0.0
71,Raja Bell\bellra01,Florida International,Sun Belt,Forward,29.0,30.191721132897605,34.9,5.8,12.6,0.456,4.1,7.9,0.522,1.7,4.8,0.348,3.5,4.7,0.745,1.7029752066115702,4.258016528925619,4.3,2.7,1.3,0.2,2.6,1.0,16.7,0.92,4.0,196.0,92.0,1.0
72,Harold Jamison\jamisha01,Clemson,ACC,Forward,35.0,30.191721132897605,29.1,5.0,7.4,0.674,5.0,7.4,0.674,0.0,0.0,0.34321338634857523,2.8,5.4,0.521,1.7029752066115702,4.258016528925619,9.9,1.0,0.5,0.4,2.2,2.5,12.7,6.59,4.0,203.0,117.0,0.0
73,Josh Gray\grayjo01,LSU,SEC,Guard,32.0,9.0,15.5,2.2,5.0,0.44,1.9,3.8,0.512,0.3,1.2,0.21100000000000002,0.8,1.3,0.65,0.3,1.8,2.1,1.8,1.0,0.0,1.4,1.7,5.4,7.0,3.0,185.0,82.0,1.0
74,Mason Plumlee\plumlma01,Duke,ACC,Forward,36.0,36.0,34.7,6.1,10.3,0.599,6.1,10.3,0.599,0.0,0.0,0.34321338634857523,4.8,7.1,0.6809999999999999,2.7,7.2,9.9,1.9,1.0,1.4,2.9,2.6,17.1,9.54,4.0,208.0,106.0,0.0
75,Troy Caupain\caupatr01,Cincinnati,AAC,Guard,36.0,36.0,32.3,3.6,9.2,0.39399999999999996,2.3,5.0,0.45299999999999996,1.4,4.2,0.325,1.9,2.8,0.687,0.6,3.9,4.6,4.4,1.2,0.3,1.3,1.5,10.5,5.49,4.0,190.0,90.0,0.0
76,Tim Hardaway\hardati01,UTEP,WAC,Guard,33.0,33.0,35.8,7.7,15.4,0.501,6.3,11.5,0.5479999999999999,1.5,4.0,0.366,5.1,6.9,0.741,1.7029752066115702,4.258016528925619,4.0,5.4,2.8,0.2,2.7,2.4,22.0,3.4,4.0,183.0,79.0,0.0
77,Dante Cunningham\cunnida01,Villanova,Big East,Forward,38.0,38.0,31.6,6.4,12.2,0.525,6.4,12.2,0.527,0.0,0.1,0.0,3.3,4.7,0.6970000000000001,2.6,4.9,7.5,1.2,1.2,1.2,2.2,2.7,16.1,8.72,4.0,206.0,104.0,0.0
78,Alize Johnson\johnsal02,Missouri State,MVC,Forward,33.0,33.0,31.2,5.2,12.1,0.43,4.0,7.7,0.516,1.2,4.4,0.281,3.3,4.4,0.759,3.2,8.5,11.6,2.8,0.5,0.4,2.2,2.1,15.0,0.45,2.0,206.0,91.0,0.0
79,Sasha Kaun\kaunsa01,Kansas,Big 12,Center,40.0,6.0,17.7,2.7,4.4,0.619,2.7,4.4,0.619,0.0,0.0,0.34321338634857523,1.7,3.1,0.541,1.6,2.3,3.9,0.3,0.4,1.2,0.8,2.4,7.1,8.2,4.0,211.0,113.0,0.0
80,Jamison Brewer\breweja01,Auburn,SEC,Guard,32.0,32.0,32.3,3.0,6.5,0.469,2.7,5.1,0.534,0.3,1.4,0.22699999999999998,2.0,3.8,0.529,2.8,4.4,7.2,5.8,1.5,0.1,2.9,1.5,8.4,7.13,2.0,193.0,83.0,0.0
81,Roger Powell\powelro01,Illinois,Big Ten,Forward,39.0,39.0,25.1,4.5,8.2,0.5489999999999999,4.0,6.8,0.581,0.5,1.3,0.385,2.5,3.4,0.7290000000000001,2.6,3.1,5.7,0.4,0.6,0.2,1.1,2.6,12.0,8.47,4.0,198.0,106.0,0.0
82,DeAndre Jordan\jordade01,Texas A&M,Big 12,Center,35.0,21.0,20.1,3.2,5.2,0.617,3.2,5.2,0.617,0.0,0.0,0.34321338634857523,1.5,3.4,0.43700000000000006,1.9,4.1,6.0,0.4,0.2,1.3,1.6,1.9,7.9,7.46,1.0,211.0,113.0,0.0
83,Tahjere McCall\mccalta01,Tennessee State,OVC,Guard,27.0,27.0,32.1,4.7,10.8,0.435,4.4,9.4,0.46299999999999997,0.3,1.4,0.243,4.6,7.1,0.637,1.6,3.4,5.0,5.1,2.8,0.5,3.7,3.3,14.3,-2.96,4.0,193.0,72.0,1.0
84,Gian Clavell\clavegi01,Colorado State,MWC,Guard,27.0,26.0,36.6,7.1,16.6,0.43,4.3,9.1,0.466,2.9,7.5,0.386,3.3,4.7,0.693,1.4,4.9,6.3,1.7,2.0,0.7,2.0,2.1,20.4,2.17,3.0,193.0,83.0,0.0
85,Eddie House\houseed01,Arizona State,Pac-10,Guard,32.0,30.191721132897605,37.2,8.2,19.5,0.42200000000000004,5.9,13.2,0.449,2.3,6.3,0.365,4.3,5.1,0.835,1.7029752066115702,4.258016528925619,5.5,3.5,2.3,0.1,2.3,2.1,23.0,8.75,4.0,185.0,81.0,0.0
86,Robbie Hummel\hummero01,Purdue,Big Ten,Forward,35.0,35.0,32.2,5.5,13.3,0.41700000000000004,3.5,7.9,0.44,2.1,5.4,0.38299999999999995,3.2,3.9,0.825,1.6,5.6,7.2,1.9,0.7,1.2,0.9,2.1,16.4,8.05,4.0,203.0,97.0,0.0
87,Deng Gai\gaide01,Fairfield,MAAC,Forward,30.0,30.0,34.7,5.2,11.0,0.474,4.6,9.1,0.504,0.6,1.9,0.33299999999999996,2.8,3.8,0.722,2.7,5.8,8.5,1.3,0.6,5.5,2.1,2.8,13.9,-3.23,4.0,206.0,113.0,0.0
