playerName,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS, ,SOS,yearsInCollege,heightInCm,weightInKg,position
Walter McCarty\mccarwa01,1995-96,Kentucky,SEC,36,,24.7,4.2,7.8,0.543,3.4,6.1,0.564,0.8,1.7,0.467,2.1,2.9,0.721,,,5.7,2.6,1.2,1.4,2.3,3.3,11.3,,10.06,3,208,104,Forward
Demetrius Jackson\jacksde01,2002-03,Pacific,Big West,27,23,29.4,4.6,11.7,0.394,2.9,6.4,0.443,1.7,5.2,0.333,2.7,3.3,0.82,0.2,1.5,1.7,3,1.2,0.1,3.1,2.9,13.6,,-0.95,2,178,77,Guard
Derrick Jones\jonesde02,,Mississippi State,,42,,,1.2,4,0.292,0.5,1.7,0.296,0.7,2.3,0.289,0.9,1.3,0.679,,,1.5,0.6,0.4,0.1,,,3.9,,,6,196,86,Guard
Nick Fazekas\fazekni01,2006-07,Nevada,WAC,32,32,30.3,7.8,13.7,0.568,6.9,11.6,0.591,0.9,2,0.431,4,4.7,0.848,3,8.1,11.1,1.8,0.8,1.5,2,2.3,20.4,,1.09,4,211,106,Forward
Matt Costello\costema01,2015-16,Michigan State,Big Ten,35,35,22.9,4.2,7.5,0.561,4.2,7.3,0.57,0.1,0.2,0.25,2.2,2.9,0.752,2.9,5.3,8.2,1.3,0.7,1.2,1.1,2.1,10.7,,6.94,4,206,111,Forward
Wesley Person\persowe01,1993-94,Auburn,SEC,28,,35.9,7.8,16,0.484,4.4,8.5,0.521,3.3,7.5,0.443,3.4,4.6,0.734,,,6.4,2.8,1,0.4,3,1.6,22.2,,7.17,4,198,88,Guard
Kendall Gill\gillke01,1989-90,Illinois,Big Ten,29,29,34.5,7.3,14.6,0.5,6.5,12.3,0.528,0.8,2.3,0.348,4.7,6,0.777,,,4.9,3.3,2.2,0.6,2.5,2.3,20,,9.89,4,196,88,Guard
Chris Porter\portech01,1999-00,Auburn,SEC,26,26,29,5.4,11.7,0.464,5.3,11,0.477,0.2,0.7,0.235,3.6,5.3,0.676,,,7.3,1.2,2,0.3,2.1,2.7,14.6,,8.2,2,201,98,Forward
Loren Woods\woodslo01,,Wake Forest,,52,,17.5,2.6,5.8,0.441,2.6,5.8,0.443,0,0.1,0.25,2.5,3.7,0.674,,,6,0.7,0.3,1.8,1.4,0.9,7.7,,,6,216,111,Center
Josh Selby\selbyjo01,2010-11,Kansas,Big 12,26,11,20.4,2.8,7.4,0.373,1.5,3.8,0.384,1.3,3.6,0.362,1.1,1.4,0.757,0.4,1.8,2.2,2.2,0.8,0,2,1.7,7.9,,7.62,1,188,83,Guard
Raja Bell\bellra01,,Boston University,,58,,31,4.7,11.2,0.419,3.5,8,0.439,1.2,3.3,0.37,1.8,2.6,0.682,,,4.2,1.5,0.9,0.2,2.3,2.8,12.9,,,6,196,92,Forward
Harold Jamison\jamisha01,1998-99,Clemson,ACC,35,,29.1,5,7.4,0.674,5,7.4,0.674,0,0,,2.8,5.4,0.521,,,9.9,1,0.5,0.4,2.2,2.5,12.7,,6.59,4,203,117,Forward
Josh Gray\grayjo01,,Texas Tech,,31,31,26.7,3.4,9.4,0.363,2.9,6.8,0.429,0.5,2.6,0.188,2,2.9,0.697,0.7,1.8,2.5,3.2,2,0.1,3.3,2.5,9.3,,,5,185,82,Guard
Mason Plumlee\plumlma01,2012-13,Duke,ACC,36,36,34.7,6.1,10.3,0.599,6.1,10.3,0.599,0,0,,4.8,7.1,0.681,2.7,7.2,9.9,1.9,1,1.4,2.9,2.6,17.1,,9.54,4,208,106,Forward
Troy Caupain\caupatr01,2016-17,Cincinnati,AAC,36,36,32.3,3.6,9.2,0.394,2.3,5,0.453,1.4,4.2,0.325,1.9,2.8,0.687,0.6,3.9,4.6,4.4,1.2,0.3,1.3,1.5,10.5,,5.49,4,190,90,Guard
Tim Hardaway\hardati01,1988-89,UTEP,WAC,33,33,35.8,7.7,15.4,0.501,6.3,11.5,0.548,1.5,4,0.366,5.1,6.9,0.741,,,4,5.4,2.8,0.2,2.7,2.4,22,,3.4,4,183,79,Guard
Dante Cunningham\cunnida01,2008-09,Villanova,Big East,38,38,31.6,6.4,12.2,0.525,6.4,12.2,0.527,0,0.1,0,3.3,4.7,0.697,2.6,4.9,7.5,1.2,1.2,1.2,2.2,2.7,16.1,,8.72,4,206,104,Forward
Alize Johnson\johnsal02,2017-18,Missouri State,MVC,33,33,31.2,5.2,12.1,0.43,4,7.7,0.516,1.2,4.4,0.281,3.3,4.4,0.759,3.2,8.5,11.6,2.8,0.5,0.4,2.2,2.1,15,,0.45,2,206,91,Forward
Sasha Kaun\kaunsa01,2007-08,Kansas,Big 12,40,6,17.7,2.7,4.4,0.619,2.7,4.4,0.619,0,0,,1.7,3.1,0.541,1.6,2.3,3.9,0.3,0.4,1.2,0.8,2.4,7.1,,8.2,4,211,113,Center
Jamison Brewer\breweja01,2000-01,Auburn,SEC,32,32,32.3,3,6.5,0.469,2.7,5.1,0.534,0.3,1.4,0.227,2,3.8,0.529,2.8,4.4,7.2,5.8,1.5,0.1,2.9,1.5,8.4,,7.13,2,193,83,Guard
Roger Powell\powelro01,2004-05,Illinois,Big Ten,39,39,25.1,4.5,8.2,0.549,4,6.8,0.581,0.5,1.3,0.385,2.5,3.4,0.729,2.6,3.1,5.7,0.4,0.6,0.2,1.1,2.6,12,,8.47,4,198,106,Forward
