playerName,Season,School,Conf,position,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,spacer1,SOS,yearsInCollege,heightInCm,weightInKg,transferredSchools
Lamar Patterson\pattela01,2013-14,Pitt,ACC,Guard,36,36,32.6,5.6,12.7,0.441,3.4,7,0.484,2.2,5.7,0.388,3.7,4.9,0.754,1,3.9,4.9,4.3,1.4,0.3,2.6,2,17.1,,7.54,5,196,102,0
A.J. Hammons\hammoaj01,2015-16,Purdue,Big Ten,Center,33,20,24.6,6,10.2,0.592,5.8,9.8,0.594,0.2,0.3,0.545,2.7,3.8,0.709,2.3,5.8,8.2,1.1,0.3,2.5,2,2.4,15,,7.46,4,213,118,0
Shammond Williams\willish01,1997-98,UNC,ACC,Guard,38,,,5.5,11.3,0.488,3.2,5.6,0.577,2.3,5.7,0.4,3.5,3.8,0.911,,,3.2,4.2,1,0.1,,,16.8,,10.38,4,185,91,0
Anthony Roberson\roberan02,2004-05,Florida,SEC,Guard,30,32,31.7,6.4,14.1,0.456,3.3,6,0.547,3.1,8.1,0.388,2.7,3,0.9,0.4,1.7,2.2,2.6,0.7,0.1,1.9,1.7,18.7,,7.12,3,188,81,0
Ed Davis\davised01,2009-10,UNC,ACC,Forward,23,23,27.9,4.8,8.3,0.578,4.8,8.3,0.578,0,0,,3.8,5.7,0.659,2.9,6.7,9.6,1,0.4,2.8,2,1.8,13.4,,9.83,2,208,102,0
Jerry Smith\smithje01,2009-10,Louisville,Big East,Guard,31,30,24.1,2.7,6.9,0.393,1.6,3.1,0.526,1.1,3.8,0.282,1.8,2.5,0.709,1,2.2,3.2,1.9,1.4,0.3,1.6,1.8,8.3,,7.99,4,190,86,0
Trenton Hassell\hassetr01,2000-01,Austin Peay,OVC,Forward,32,32,37.9,7.7,15.8,0.485,6,11.6,0.52,1.7,4.3,0.39,4.6,5.8,0.796,2.6,5.2,7.8,4.5,1.2,0.5,3.8,2.1,21.7,,-3.26,3,196,90,0
Tarence Kinsey\kinseta01,2005-06,South Carolina,SEC,Guard,38,37,34.8,5.5,12.1,0.453,3.6,7.2,0.507,1.9,5,0.376,3,3.5,0.843,1.4,3.2,4.6,2.3,1.6,0.3,2.1,2.2,15.8,,8.14,4,198,83,0
Speedy Claxton\claxtsp01,1999-00,Hofstra,AEC,Guard,31,,35.1,8.2,17.4,0.47,6.5,13,0.5,1.6,4.3,0.381,4.8,6.3,0.764,,,5.4,6,3.3,0.2,3.3,2.3,22.8,,-6.03,4,180,75,0
Andy Rautins\rautian01,2009-10,Syracuse,Big East,Guard,35,35,32.5,3.7,8.5,0.438,0.9,1.6,0.571,2.8,6.9,0.407,1.9,2.3,0.815,0.5,2.9,3.4,4.9,2,0.2,2.8,2.2,12.1,,7.21,4,196,88,0
Nolan Smith\smithno01,2010-11,Duke,ACC,Guard,37,37,34,7,15.4,0.458,5.5,10.9,0.501,1.5,4.4,0.35,5.1,6.2,0.813,1.2,3.3,4.5,5.1,1.2,0.1,3.2,1.9,20.6,,8.31,4,188,83,0
