,playerName,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS, ,SOS,yearsInCollege,heightInCm,weightInKg,position,transferredSchools
40,Isaiah Roby,2018-19,Nebraska,Big Ten,35,35,31.2,4.2,9.3,.454,3.4,6.9,.496,0.8,2.4,.333,2.6,3.8,.677,1.9,5.0,6.9,1.9,1.3,1.9,2.0,3.2,11.8,,11.31,3,203,104,Forward,0
41,Markis McDuffie,2018-19,Wichita State,AAC,37,37,33.4,5.8,14.2,.408,3.5,7.5,.466,2.3,6.6,.341,4.3,5.3,.816,1.8,3.2,5.0,1.0,1.0,0.2,1.6,1.9,18.2,,5.91,4,203,98,Forward,0
42,Chuma Okeke,2018-19,Auburn,SEC,38,38,29.1,4.4,8.9,.496,3.0,5.2,.574,1.4,3.7,.387,1.7,2.4,.722,2.8,4.1,6.8,1.9,1.8,1.2,1.7,1.9,12.0,,10.92,2,203,104,Forward,0
43,Admiral Schofield,2018-19,Tennessee,SEC,37,37,31.8,6.4,13.6,.474,4.4,8.8,.505,2.0,4.8,.418,1.6,2.3,.698,1.2,5.0,6.1,2.0,0.9,0.5,1.9,2.5,16.5,,10.16,4,198,109,Guard-Forward,0
44,Terence Davis,2018-19,Ole Miss,SEC,33,32,31.0,5.4,12.2,.444,3.5,6.9,.500,2.0,5.3,.371,2.4,3.1,.772,1.1,4.7,5.8,3.5,1.6,0.6,2.8,2.7,15.2,,8.13,4,193,92,Guard,0
45,Kris Wilkes,2018-19,UCLA,Pac-12,33,33,31.7,6.2,14.3,.433,4.1,8.1,.508,2.1,6.2,.337,2.9,4.3,.671,1.2,3.6,4.8,1.7,0.6,0.4,1.9,2.2,17.4,,6.78,2,203,97,Guard,0
46,Tyler Herro,2018-19,Kentucky,SEC,37,37,32.6,5.0,10.9,.462,3.4,6.3,.538,1.6,4.6,.355,2.4,2.5,.935,0.4,4.1,4.5,2.5,1.1,0.3,1.6,1.3,14.0,,10.29,1,196,88,Guard,0
47,Luguentz Dort,2018-19,Arizona State,Pac-12,34,33,31.5,5.1,12.6,.405,3.5,7.5,.472,1.6,5.2,.307,4.3,6.1,.700,1.3,3.0,4.3,2.3,1.5,0.2,2.9,3.0,16.1,,6.04,1,193,97,Guard,0
48,Jaxson Hayes,2018-19,Texas,Big 12,32,21,23.3,3.8,5.3,.728,3.8,5.3,.728,0.0,0.0,,2.3,3.1,.740,1.8,3.3,5.0,0.3,0.6,2.2,0.9,3.3,10.0,,11.46,1,211,99,Forward,0
49,Sagaba Konate,2018-19,West Virginia,Big 12,8,7,24.1,4.6,10.6,.435,3.5,7.8,.452,1.1,2.9,.391,3.3,4.0,.813,1.9,6.1,8.0,1.4,0.8,2.8,2.1,3.3,13.6,,10.57,3,203,113,Forward,0
