playerName,Season,School,Conf,position,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,spacer1,SOS,yearsInCollege,heightInCm,weightInKg,transferredSchools
Grant Williams,2018-19,Tennessee,SEC,Forward,37,37,31.9,6.3,11.2,0.564,5.9,10,0.593,0.4,1.2,0.326,5.8,7,0.819,2.2,5.3,7.5,3.2,1.1,1.5,2.2,3,18.8,,10.16,3,201,107,0
PJ Washington,2018-19,Kentucky,SEC,Forward,35,33,29.3,5.4,10.4,0.522,4.5,8.2,0.549,0.9,2.2,0.423,3.4,5.1,0.663,2.3,5.2,7.5,1.8,0.8,1.2,2,2.5,15.2,,10.29,2,203,103,0
Jarrett Culver,2018-19,Texas Tech,Big 12,Guard,38,38,32.5,6.7,14.5,0.461,5.4,10.3,0.526,1.3,4.2,0.304,3.9,5.5,0.707,1.4,5,6.4,3.7,1.5,0.6,2.7,1.9,18.5,,9.53,2,196,88,0
Miye Oni,2018-19,Yale,Ivy,Guard,29,28,31,5.8,13.1,0.441,3.8,7.9,0.487,1.9,5.2,0.371,3.7,4.7,0.793,0.7,5.6,6.3,3.6,0.9,1.3,2.6,2.7,17.1,,-1.23,3,198,95,0
Max Strus,2018-19,DePaul,Big East,Guard,35,35,37.4,6.6,15.5,0.429,3.4,6.6,0.517,3.2,8.9,0.363,3.7,4.3,0.842,1.1,4.8,5.9,2.2,0.9,0.5,2,2.9,20.1,,4.05,2,198,97,0
Jarron Cumberland,2018-19,Cincinnati,AAC,Guard,35,35,32.5,5.9,14.6,0.404,3.6,8.7,0.415,2.3,5.9,0.388,4.7,6,0.773,1.1,3.3,4.4,3.6,1.1,0.4,2.7,2.3,18.8,,5.5,3,196,92,0
Tyler Cook,2018-19,Iowa,Big Ten,Forward,33,33,30.8,5.3,10.3,0.51,5.3,10.2,0.519,0,0.2,0,3.9,6.1,0.644,2.2,5.5,7.6,2.4,0.7,0.5,2.8,2.3,14.5,,9.84,3,206,113,0
Carsen Edwards,2018-19,Purdue,Big Ten,Guard,36,36,35.4,7.7,19.5,0.394,3.9,9,0.44,3.8,10.6,0.355,5.1,6.1,0.837,0.4,3.2,3.6,2.9,1.3,0.3,3.1,2,24.3,,11.99,3,185,90,0
Ty Jerome,2018-19,Virginia,ACC,Guard,37,37,33.9,4.8,11.1,0.435,2.7,5.7,0.469,2.1,5.4,0.399,1.8,2.5,0.736,0.5,3.8,4.2,5.5,1.5,0,1.6,1.7,13.6,,10.15,3,196,88,0
Devon Dotson,2018-19,Kansas,Big 12,Guard,36,36,32.4,4.1,8.5,0.482,3.2,5.9,0.533,0.9,2.5,0.363,3.2,4.1,0.782,0.6,3.1,3.7,3.5,1.4,0.1,2.3,2.5,12.3,,12.79,1,188,83,0
Romeo Langford,2018-19,Indiana,Big Ten,Guard,32,32,34.1,5.5,12.3,0.448,4.5,8.4,0.53,1.1,3.9,0.272,4.4,6.1,0.722,1.4,4,5.4,2.3,0.8,0.8,2.1,1.9,16.5,,10.1,1,198,97,0
Jarrey Foster,2018-19,SMU,AAC,Guard,16,14,23.1,2.3,6.6,0.343,1.6,4,0.391,0.7,2.6,0.268,1.8,2.3,0.757,1.6,2,3.6,1.5,0.4,0.5,1.4,2.3,6.9,,4.12,4,198,99,0
Kyle Guy,2018-19,Virginia,ACC,Guard,38,38,35.4,5.2,11.6,0.449,2.1,4.2,0.491,3.2,7.4,0.426,1.8,2.2,0.833,0.7,3.8,4.5,2.1,0.7,0.1,1.4,1,15.4,,10.15,3,188,79,0
CJ Massinburg,2018-19,Buffalo,MAC,Guard,35,34,32.1,5.7,12.3,0.464,3,5.6,0.541,2.7,6.7,0.399,4.1,5.3,0.78,2.2,4.3,6.5,3,1.2,0.3,1.3,1.7,18.2,,2.62,4,190,87,0
Aric Holman,2018-19,Mississippi State,SEC,Forward,34,20,24.4,3.4,7.2,0.473,2.1,4.1,0.507,1.3,3.1,0.429,1.4,2,0.701,2.1,4,6.2,1.2,0.9,1.6,1.5,1.8,9.5,,9.07,4,208,102,0
Jordan Poole,2018-19,Michigan,Big Ten,Guard,37,37,33.1,4.4,10,0.436,2.3,4.5,0.518,2,5.5,0.369,2,2.4,0.833,0.2,2.8,3,2.2,1.1,0.2,1.5,2,12.8,,10.55,2,196,88,0
Kaleb Wesson,2018-19,Ohio State,Big Ten,Forward,32,31,25.9,4.9,9.8,0.5,4.1,7.4,0.549,0.8,2.3,0.347,4.1,5.5,0.734,2.4,4.5,6.9,1.8,1,0.7,2.3,3.2,14.6,,11,2,206,122,0
Zion Williamson,2018-19,Duke,ACC,Forward,33,33,30,9,13.2,0.68,8.2,11,0.747,0.7,2.2,0.338,3.9,6.2,0.64,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,22.6,,11.97,1,201,129,0
